canonical_test_uid,test_no,test_date,source_system,v1_4_label,false_positive_family,false_positive_reason,positive_evidence_that_caused_error,negative_evidence_ignored_by_v1_4,corrected_label_or_status,corrective_rule_id,acceptance_status,adjudication_note
nhtsa_crash_test:9230,9230,2014-10-27,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":88.12,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9231,9231,2014-10-27,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_OMDB_90KPH_15DEG_35PCT_THOR50M,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""direction"":[""front"",""frontal"",""oblique""],""overlap_percent_near"":35.0,""required_barrier_type"":[""rmdb""],""speed_near"":88.44,""text_any"":[""OBLIQUE""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""RESEARCH AND DEVELOPMENT LEFT OBLIQUE OFFSET FRONTAL IMPACT"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_OMDB_90KPH_15DEG_35PCT_THOR50M""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9232,9232,2014-10-28,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":87.95,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9233,9233,2014-10-28,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":87.72,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9234,9234,2014-10-29,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":88.01,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9235,9235,2014-10-29,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":87.82,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9236,9236,2014-10-30,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":88.11,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9237,9237,2014-10-30,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":87.86,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9238,9238,2014-10-30,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":88.01,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
nhtsa_crash_test:9239,9239,2014-10-31,nhtsa_crash,NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX,sled_full_vehicle_false_positive,Sled-with-body metadata was outranked by full-vehicle oblique crash rules.,"{""angle_near"":15.0,""overlap_percent_range"":35.0,""required_barrier_type"":[""rmdb""],""speed_range_kmh"":87.98,""text_any"":[""RMDB""]}","{""sled_signal"":true,""test_configuration"":""SLED WITH VEHICLE BODY"",""title"":""SLED BUCK RESEARCH AND DEVELOPMENT OFFSET TEST"",""v1_4_label"":""NHTSA_RESEARCH_FRONTAL_OBLIQUE_RMDB_LEGACY_OR_MATRIX""}",OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH,accepted_repaired,Corrected by sled negative gate and OCCUPANT_PERFORMANCE_FRONTAL_OBLIQUE_SLED_RESEARCH.
