source_system,code_set_name,source_endpoint_name,source_field_path,entity_type,derived_field_name,code_set_source,value_count,observed_count,observed_test_count,contract_status,exception_reason
nhtsa_crash,asset_kind,media_assets,media_assets.asset_kind,media_assets,asset_kind,derived_rebuildable_code_values,5,289821,13718,pass,
nhtsa_crash,asset_subtype,media_assets,media_assets.asset_subtype,media_assets,asset_subtype,derived_rebuildable_code_values,8,289821,25560,pass,
nhtsa_crash,barrier_rigidity,barrier_info,$.results[*].rigidOrDeformableBarrier,barriers,rigidity,derived_rebuildable_code_values,2,1409,1409,pass,
nhtsa_crash,barrier_shape,barrier_info,$.results[*].barrierShape,barriers,shape,derived_rebuildable_code_values,10,1409,1409,pass,
nhtsa_crash,channel_status,instrumentation_info,$.results[*].channelStatus,instrumentation_channels,channel_status,derived_rebuildable_code_values,4,470042,6178,pass,
nhtsa_crash,classification_status,test_classification,test_classification.classification_status,test_classification,classification_status,derived_rebuildable_code_values,2,3891,3891,pass,
nhtsa_crash,data_measurement_unit,instrumentation_info,$.results[*].dataMeasurementUnits,instrumentation_channels,unit_raw,derived_rebuildable_code_values,28,470435,19016,pass,
nhtsa_crash,data_status,instrumentation_info,$.results[*].dataStatus,instrumentation_channels,data_status,derived_rebuildable_code_values,8,470389,7975,pass,
nhtsa_crash,occupant_location,occupant_info,$.results[*].occupantLocation,occupants,occupant_location_normalized,derived_rebuildable_code_values,6,5875,5872,pass,
nhtsa_crash,occupant_type,occupant_info,$.results[*].occupantType,occupants,occupant_type,derived_rebuildable_code_values,19,5875,4585,pass,
nhtsa_crash,participant_kind,test_participants,test_participants.participant_kind,test_participants,participant_kind,derived_rebuildable_code_values,3,6320,6161,pass,
nhtsa_crash,restraint_deployment,restraint_info,$.results[*].inflationer/BeltPretensionerDeployment,restraints,deployment_status,derived_rebuildable_code_values,5,12468,5493,pass,
nhtsa_crash,restraint_type,restraint_info,$.results[*].restraintType,restraints,restraint_type,derived_rebuildable_code_values,25,12492,8360,pass,
nhtsa_crash,sensor_attachment,instrumentation_info,$.results[*].sensorAttachment,instrumentation_channels,sensor_attachment,derived_rebuildable_code_values,559,470435,153243,pass,
nhtsa_crash,sensor_axis,instrumentation_info,$.results[*].axisDirofSensor,instrumentation_channels,sensor_axis,derived_rebuildable_code_values,30,470435,22056,pass,
nhtsa_crash,sensor_type,instrumentation_info,$.results[*].sensorType,instrumentation_channels,sensor_type,derived_rebuildable_code_values,28,470435,15881,pass,
nhtsa_crash,test_configuration_key,test_summary,$.results[*].testConfiguration,tests,test_configuration_key,derived_rebuildable_code_values,15,3815,3815,pass,
