source_system,code_set_name,code_value,normalized_value,description,first_seen_test_id,seen_count,observed_test_count,source_endpoint_name,source_field_path,entity_type,derived_field_name,code_set_source
nhtsa_crash,asset_kind,data_package,DATA_PACKAGE,Derived dictionary value; rebuildable from canonical tables.,1,19222,3856,media_assets,media_assets.asset_kind,media_assets,asset_kind,derived_rebuildable_code_values
nhtsa_crash,asset_kind,other,OTHER,Derived dictionary value; rebuildable from canonical tables.,5,1010,523,media_assets,media_assets.asset_kind,media_assets,asset_kind,derived_rebuildable_code_values
nhtsa_crash,asset_kind,photo,PHOTO,Derived dictionary value; rebuildable from canonical tables.,1,228448,3038,media_assets,media_assets.asset_kind,media_assets,asset_kind,derived_rebuildable_code_values
nhtsa_crash,asset_kind,report,REPORT,Derived dictionary value; rebuildable from canonical tables.,1,3835,3052,media_assets,media_assets.asset_kind,media_assets,asset_kind,derived_rebuildable_code_values
nhtsa_crash,asset_kind,video,VIDEO,Derived dictionary value; rebuildable from canonical tables.,1,37306,3249,media_assets,media_assets.asset_kind,media_assets,asset_kind,derived_rebuildable_code_values
nhtsa_crash,asset_subtype,ABF,ABF,Derived dictionary value; rebuildable from canonical tables.,1,3854,3854,media_assets,media_assets.asset_subtype,media_assets,asset_subtype,derived_rebuildable_code_values
nhtsa_crash,asset_subtype,EV,EV,Derived dictionary value; rebuildable from canonical tables.,1,3861,3854,media_assets,media_assets.asset_subtype,media_assets,asset_subtype,derived_rebuildable_code_values
nhtsa_crash,asset_subtype,ISO,ISO,Derived dictionary value; rebuildable from canonical tables.,1,3856,3854,media_assets,media_assets.asset_subtype,media_assets,asset_subtype,derived_rebuildable_code_values
nhtsa_crash,asset_subtype,PDF,PDF,Derived dictionary value; rebuildable from canonical tables.,1,3835,3052,media_assets,media_assets.asset_subtype,media_assets,asset_subtype,derived_rebuildable_code_values
nhtsa_crash,asset_subtype,TDMS,TDMS,Derived dictionary value; rebuildable from canonical tables.,1,3802,3802,media_assets,media_assets.asset_subtype,media_assets,asset_subtype,derived_rebuildable_code_values
nhtsa_crash,asset_subtype,UDS,UDS,Derived dictionary value; rebuildable from canonical tables.,1,3854,3854,media_assets,media_assets.asset_subtype,media_assets,asset_subtype,derived_rebuildable_code_values
nhtsa_crash,asset_subtype,UNKNOWN,UNKNOWN,Derived dictionary value; rebuildable from canonical tables.,1,266755,3286,media_assets,media_assets.asset_subtype,media_assets,asset_subtype,derived_rebuildable_code_values
nhtsa_crash,asset_subtype,ZIP,ZIP,Derived dictionary value; rebuildable from canonical tables.,3565,4,4,media_assets,media_assets.asset_subtype,media_assets,asset_subtype,derived_rebuildable_code_values
nhtsa_crash,barrier_rigidity,DEFORMABLE,DEFORMABLE,Derived dictionary value; rebuildable from canonical tables.,212,4,4,barrier_info,$.results[*].rigidOrDeformableBarrier,barriers,rigidity,derived_rebuildable_code_values
nhtsa_crash,barrier_rigidity,RIGID,RIGID,Derived dictionary value; rebuildable from canonical tables.,1,1405,1405,barrier_info,$.results[*].rigidOrDeformableBarrier,barriers,rigidity,derived_rebuildable_code_values
nhtsa_crash,barrier_shape,8 X 16 + 6 LOAD CELL BARRIER,8_X_16_+_6_LOAD_CELL_BARRIER,Derived dictionary value; rebuildable from canonical tables.,1,47,47,barrier_info,$.results[*].barrierShape,barriers,shape,derived_rebuildable_code_values
nhtsa_crash,barrier_shape,8 X 16 LOAD CELL BARRIER,8_X_16_LOAD_CELL_BARRIER,Derived dictionary value; rebuildable from canonical tables.,730,7,7,barrier_info,$.results[*].barrierShape,barriers,shape,derived_rebuildable_code_values
nhtsa_crash,barrier_shape,9X16 LOAD CELL BARRIER WITH MOMENTS,9X16_LOAD_CELL_BARRIER_WITH_MOMENTS,Derived dictionary value; rebuildable from canonical tables.,2317,1,1,barrier_info,$.results[*].barrierShape,barriers,shape,derived_rebuildable_code_values
nhtsa_crash,barrier_shape,EEVC OFFSET BARRIER,EEVC_OFFSET_BARRIER,Derived dictionary value; rebuildable from canonical tables.,212,1,1,barrier_info,$.results[*].barrierShape,barriers,shape,derived_rebuildable_code_values
nhtsa_crash,barrier_shape,FLAT ANGLED BARRIER,FLAT_ANGLED_BARRIER,Derived dictionary value; rebuildable from canonical tables.,60,25,25,barrier_info,$.results[*].barrierShape,barriers,shape,derived_rebuildable_code_values
nhtsa_crash,barrier_shape,FLAT BARRIER,FLAT_BARRIER,Derived dictionary value; rebuildable from canonical tables.,55,121,121,barrier_info,$.results[*].barrierShape,barriers,shape,derived_rebuildable_code_values
nhtsa_crash,barrier_shape,LOAD CELL BARRIER,LOAD_CELL_BARRIER,Derived dictionary value; rebuildable from canonical tables.,10,494,494,barrier_info,$.results[*].barrierShape,barriers,shape,derived_rebuildable_code_values
nhtsa_crash,barrier_shape,OTHER,OTHER,Derived dictionary value; rebuildable from canonical tables.,124,12,12,barrier_info,$.results[*].barrierShape,barriers,shape,derived_rebuildable_code_values
nhtsa_crash,barrier_shape,POLE,POLE,Derived dictionary value; rebuildable from canonical tables.,2,622,622,barrier_info,$.results[*].barrierShape,barriers,shape,derived_rebuildable_code_values
nhtsa_crash,barrier_shape,UNKNOWN,UNKNOWN,Derived dictionary value; rebuildable from canonical tables.,62,79,79,barrier_info,$.results[*].barrierShape,barriers,shape,derived_rebuildable_code_values
nhtsa_crash,channel_status,PRIMARY,PRIMARY,Derived dictionary value; rebuildable from canonical tables.,1,452066,3856,instrumentation_info,$.results[*].channelStatus,instrumentation_channels,channel_status,derived_rebuildable_code_values
nhtsa_crash,channel_status,REDUNDANT,REDUNDANT,Derived dictionary value; rebuildable from canonical tables.,1,17956,2303,instrumentation_info,$.results[*].channelStatus,instrumentation_channels,channel_status,derived_rebuildable_code_values
nhtsa_crash,channel_status,SUBSTITUTE,SUBSTITUTE,Derived dictionary value; rebuildable from canonical tables.,721,1,1,instrumentation_info,$.results[*].channelStatus,instrumentation_channels,channel_status,derived_rebuildable_code_values
nhtsa_crash,channel_status,SUBSTITUTE R,SUBSTITUTE_R,Derived dictionary value; rebuildable from canonical tables.,418,19,18,instrumentation_info,$.results[*].channelStatus,instrumentation_channels,channel_status,derived_rebuildable_code_values
nhtsa_crash,classification_status,classified,CLASSIFIED,Derived dictionary value; rebuildable from canonical tables.,1,3882,3882,test_classification,test_classification.classification_status,test_classification,classification_status,derived_rebuildable_code_values
nhtsa_crash,classification_status,needs_review,NEEDS_REVIEW,Derived dictionary value; rebuildable from canonical tables.,2190,9,9,test_classification,test_classification.classification_status,test_classification,classification_status,derived_rebuildable_code_values
nhtsa_crash,data_measurement_unit,AMPERES,AMPERES,Derived dictionary value; rebuildable from canonical tables.,43,2418,546,instrumentation_info,$.results[*].dataMeasurementUnits,instrumentation_channels,unit_raw,derived_rebuildable_code_values
nhtsa_crash,data_measurement_unit,DECIBELS,DECIBELS,Derived dictionary value; rebuildable from canonical tables.,551,42,1,instrumentation_info,$.results[*].dataMeasurementUnits,instrumentation_channels,unit_raw,derived_rebuildable_code_values
nhtsa_crash,data_measurement_unit,DEGREES,DEGREES,Derived dictionary value; rebuildable from canonical tables.,34,7484,344,instrumentation_info,$.results[*].dataMeasurementUnits,instrumentation_channels,unit_raw,derived_rebuildable_code_values
nhtsa_crash,data_measurement_unit,DEGREES/SEC,DEGREES_SEC,Derived dictionary value; rebuildable from canonical tables.,2,11828,1718,instrumentation_info,$.results[*].dataMeasurementUnits,instrumentation_channels,unit_raw,derived_rebuildable_code_values
nhtsa_crash,data_measurement_unit,DEGREES/SEC**2,DEGREES_SEC**2,Derived dictionary value; rebuildable from canonical tables.,803,18,3,instrumentation_info,$.results[*].dataMeasurementUnits,instrumentation_channels,unit_raw,derived_rebuildable_code_values
