source_system,endpoint_name,endpoint_group,path_template,collection_decision,request_persisted,payload_persisted,payload_count,empty_success_count,observation_count,parsed_entity_mapping,mapped_entity_types,field_catalog_mapping,field_catalog_rows,relationship_mapping,relationship_count,provenance_evidence,contract_status,exception_reason
nhtsa_crash,test_results,discovery,/vehicle-database-test-results,required_discovery_not_persisted,false,false,0,0,0,true,discovery_manifest_candidate,false,0,true,0,endpoint_definition=test_results;decision=required_discovery_not_persisted,documented_exception,required_discovery_not_persisted
nhtsa_crash,search,discovery,/vehicle-database-test-results/by-search,required_discovery_not_persisted,false,false,0,0,0,true,discovery_manifest_candidate,false,0,true,0,endpoint_definition=search;decision=required_discovery_not_persisted,documented_exception,required_discovery_not_persisted
nhtsa_crash,search_vehicle,discovery_optional,/vehicle-database-test-results/by-search-vehicle,optional_discovery_not_collected,false,false,0,0,0,true,discovery_manifest_candidate,false,0,false,0,endpoint_definition=search_vehicle;decision=optional_discovery_not_collected,documented_exception,optional_discovery_not_collected
nhtsa_crash,search_barrier,discovery_optional,/vehicle-database-test-results/by-search-barrier,optional_discovery_not_collected,false,false,0,0,0,true,discovery_manifest_candidate,false,0,false,0,endpoint_definition=search_barrier;decision=optional_discovery_not_collected,documented_exception,optional_discovery_not_collected
nhtsa_crash,vehicle_models,discovery_optional,/vehicle-database-test-results/vehicleModels,optional_discovery_not_collected,false,false,0,0,0,true,reference_dictionary,false,0,false,0,endpoint_definition=vehicle_models;decision=optional_discovery_not_collected,documented_exception,optional_discovery_not_collected
nhtsa_crash,occupant_types,discovery_optional,/vehicle-database-test-results/occupant-types,optional_discovery_not_collected,false,false,0,0,0,true,reference_dictionary,false,0,false,0,endpoint_definition=occupant_types;decision=optional_discovery_not_collected,documented_exception,optional_discovery_not_collected
nhtsa_crash,test_summary,core,/vehicle-database-test-results/test-no/{test_no},required_collected,true,true,3891,0,3891,true,manifest_tests|test_identities,true,25,false,0,source_payloads.endpoint_name=test_summary,pass,
nhtsa_crash,metadata_export,core,/vehicle-database-test-results/metadata/{test_no},required_collected,true,true,3891,0,3891,true,manifest_tests|vehicles|test_participants|barriers|occupants|restraints|instrumentation_channels|injury_metrics|deformation_measurements|media_assets,true,236,true,858079,source_payloads.endpoint_name=metadata_export,pass,
nhtsa_crash,test_detail,core_optional,/vehicle-database-test-results/get-test-detail/{test_no},optional_core_collected,true,true,3891,0,3891,true,native_test_detail,true,29,false,0,source_payloads.endpoint_name=test_detail,pass,
nhtsa_crash,vehicle_info,detail,/vehicle-database-test-results/get-vehicle-info/{test_no},required_collected,true,true,3891,1,3891,true,vehicles|test_participants,true,25,true,9386,source_payloads.endpoint_name=vehicle_info,pass,
nhtsa_crash,vehicle_detail,detail,/vehicle-database-test-results/get-vehicle-detail-info/{vehicle_no}/{test_no},optional_detail_not_collected,false,false,0,0,0,true,native_vehicle_detail,false,0,false,0,endpoint_definition=vehicle_detail;decision=optional_detail_not_collected,documented_exception,optional_detail_not_collected
nhtsa_crash,barrier_info,detail,/vehicle-database-test-results/get-barrier-info/{test_no},required_collected,true,true,3891,2264,3891,true,barriers|test_participants,true,19,true,3254,source_payloads.endpoint_name=barrier_info,pass,
nhtsa_crash,occupant_info,detail,/vehicle-database-test-results/get-occupant-info/{test_no},required_collected,true,true,3891,222,3891,true,occupants,true,26,true,5618,source_payloads.endpoint_name=occupant_info,pass,
nhtsa_crash,occupant_info_by_vehicle,detail,/vehicle-database-test-results/get-occupant-info/{vehicle_no}/{test_no},superseded_by_test_level_occupant_info,false,false,0,0,0,true,occupants,false,0,false,0,endpoint_definition=occupant_info_by_vehicle;decision=superseded_by_test_level_occupant_info,documented_exception,superseded_by_test_level_occupant_info
nhtsa_crash,occupant_detail,detail,/vehicle-database-test-results/get-occupant-detail-information/{vehicle_no}/{test_no}/{occupant_location},optional_detail_not_collected,false,false,0,0,0,true,native_occupant_detail,false,0,false,0,endpoint_definition=occupant_detail;decision=optional_detail_not_collected,documented_exception,optional_detail_not_collected
nhtsa_crash,restraint_info,detail,/vehicle-database-test-results/get-restraint-info/{vehicle_no}/{test_no}/{occupant_location},required_collected,true,true,5618,262,5618,true,restraints,true,16,true,12526,source_payloads.endpoint_name=restraint_info,pass,
nhtsa_crash,intrusion_info,detail,/vehicle-database-test-results/get-intrusion-info/{vehicle_no}/{test_no},required_collected,true,true,4048,3903,4048,true,intrusion_measurements,true,24,false,0,source_payloads.endpoint_name=intrusion_info,pass,
nhtsa_crash,instrumentation_info,detail,/vehicle-database-test-results/get-instrumentation-info/{test_no},required_collected,true,true,25524,26,25524,true,instrumentation_channels,true,24,true,470435,source_payloads.endpoint_name=instrumentation_info,pass,
nhtsa_crash,instrumentation_detail,detail,/vehicle-database-test-results/get-instrumentation-detail-info/{curve_no}/{test_no},deferred_optional_not_collected,false,false,0,0,0,true,instrumentation_channel_details,false,0,false,0,endpoint_definition=instrumentation_detail;decision=deferred_optional_not_collected,documented_exception,deferred_optional_not_collected
nhtsa_crash,multimedia_files,assets,/vehicle-database-test-results/get-multimedia-files/{test_no},required_collected,true,true,3891,0,3891,true,native_multimedia_listing,true,29,false,0,source_payloads.endpoint_name=multimedia_files,pass,
nhtsa_crash,vehicle_documents,assets,/vehicle-documents/test-no/{test_no},required_collected,true,true,3891,0,3891,true,media_assets,true,15,true,19217,source_payloads.endpoint_name=vehicle_documents,pass,
