source_system,endpoint_name,entity_type,raw_field_name,normalized_field_name,json_path,observed_data_type,contract_data_type,unit,range_min,range_max,max_length,nullable_observed,nullable_contract,is_code,code_set_name,code_set_source,first_seen_payload_id,last_seen_payload_id,occurrence_count,example_values,contract_status,exception_reason
nhtsa_crash,barrier_info,barriers,error,error,$.meta.error,string,text,,,,19,false,true,false,,,5,62263,3891,"["""", ""No Matching Results""]",documented_exception,observed_payload_path_preserved_without_canonical_promotion
nhtsa_crash,barrier_info,barriers,message,message,$.meta.message,string,text,,,,76,false,true,false,,,5,62263,3891,"[""Success"", ""No Data Found for the Search Request, please check your params and try again""]",documented_exception,observed_payload_path_preserved_without_canonical_promotion
nhtsa_crash,barrier_info,barriers,count,count,$.meta.pagination.count,integer,integer,,0,1,,false,true,false,,,5,62263,3891,"[1, 0]",documented_exception,observed_payload_path_preserved_without_canonical_promotion
nhtsa_crash,barrier_info,barriers,currentUrl,current_url,$.meta.pagination.currentUrl,null|string,text,,,,102,true,true,false,,,5,62263,3891,"[""http://nrd.api.nhtsa.dot.gov/nhtsa/vehicle/api/v1/vehicle-database-test-results/get-barrier-info/7201"", ""http://nrd.api.nhtsa.dot.gov/nhtsa/vehicle/api/v1/vehicle-database-test-results/get-barrier-info/7202"", ""http://nrd.api.nhtsa.dot.gov/nhtsa/vehicle/api/v1/vehicle-database-test-results/get-barrier-info/7203"", ""http://nrd.api.nhtsa.dot.gov/nhtsa/vehicle/api/v1/vehicle-database-test-results/get-barrier-info/7339"", ""http://nrd.api.nhtsa.dot.gov/nhtsa/vehicle/api/v1/vehicle-database-test-results/get-barrier-info/7340""]",documented_exception,observed_payload_path_preserved_without_canonical_promotion
nhtsa_crash,barrier_info,barriers,nextUrl,next_url,$.meta.pagination.nextUrl,null,null,,,,,true,true,false,,,5,62263,3891,[],documented_exception,observed_payload_path_preserved_without_canonical_promotion
nhtsa_crash,barrier_info,barriers,pageNumber,page_number,$.meta.pagination.pageNumber,integer,integer,,0,0,,false,true,false,,,5,62263,3891,[0],documented_exception,observed_payload_path_preserved_without_canonical_promotion
nhtsa_crash,barrier_info,barriers,previousUrl,previous_url,$.meta.pagination.previousUrl,null,null,,,,,true,true,false,,,5,62263,3891,[],documented_exception,observed_payload_path_preserved_without_canonical_promotion
nhtsa_crash,barrier_info,barriers,total,total,$.meta.pagination.total,integer,integer,,0,1,,false,true,false,,,5,62263,3891,"[1, 0]",documented_exception,observed_payload_path_preserved_without_canonical_promotion
nhtsa_crash,barrier_info,barriers,status,status,$.meta.status,integer,integer,,200,200,,false,true,false,,,5,62263,3891,[200],documented_exception,observed_payload_path_preserved_without_canonical_promotion
nhtsa_crash,barrier_info,barriers,results,results,$.results,null,null,,,,,true,true,false,,,61,62263,2264,[],documented_exception,observed_payload_path_preserved_without_canonical_promotion
