source_system,relationship_name,from_entity_type,from_key,to_entity_type,to_key,cardinality,source_endpoint_name,source_payload_evidence,contract_status,exception_reason,provenance_evidence
nhtsa_crash,source_system_has_endpoint,source_systems,source_system,source_endpoints,endpoint_name,1:N,,,pass,,conceptual_contract_relationship
nhtsa_crash,endpoint_has_request,source_endpoints,endpoint_name,endpoint_requests,endpoint_name,1:N,,,pass,,conceptual_contract_relationship
nhtsa_crash,request_persists_payload,endpoint_requests,request_url_hash,source_payloads,payload_hash,1:1,,,pass,,conceptual_contract_relationship
nhtsa_crash,payload_has_observation,source_payloads,id,payload_observations,source_payload_id,1:N,,,pass,,conceptual_contract_relationship
nhtsa_crash,manifest_has_identity,manifest_tests,canonical_test_uid,test_identities,canonical_test_uid,1:N,test_summary,1,pass,,source_endpoint=test_summary;sample_source_payload_id=1
nhtsa_crash,payload_links_manifest_test,source_payloads,source_system:native_test_id,manifest_tests,canonical_test_uid,N:1,,,pass,,conceptual_contract_relationship
nhtsa_crash,field_catalog_links_code_set,field_catalog,code_set_name,code_sets,code_set_name,N:1,,,pass,,conceptual_contract_relationship
nhtsa_crash,code_set_has_values,code_sets,code_set_name,code_values,code_set,1:N,,,pass,,conceptual_contract_relationship
nhtsa_crash,semantic_concept_has_rules,semantic_concepts,id,classification_rules,semantic_concept_id,1:N,,,pass,,conceptual_contract_relationship
nhtsa_crash,classification_has_evidence,classification_rules,rule_id,classification_evidence,classification_rule_id,1:N,,,pass,,conceptual_contract_relationship
nhtsa_crash,classification_evidence_links_payload,classification_evidence,source_payload_id,source_payloads,id,N:1,,,pass,,conceptual_contract_relationship
nhtsa_crash,classification_evidence_links_field,classification_evidence,field_catalog_id,field_catalog,id,N:1,,,pass,,conceptual_contract_relationship
nhtsa_crash,test_has_vehicle,manifest_tests,canonical_test_uid,vehicles,test_id,1:N,vehicle_info,4,pass,,source_endpoint=vehicle_info;sample_source_payload_id=4
nhtsa_crash,test_has_barrier,manifest_tests,canonical_test_uid,barriers,test_id,1:N,barrier_info,5,pass,,source_endpoint=barrier_info;sample_source_payload_id=5
nhtsa_crash,test_has_participant,manifest_tests,canonical_test_uid,test_participants,test_id,1:N,vehicle_info,4,pass,,source_endpoint=vehicle_info;sample_source_payload_id=4
nhtsa_crash,test_has_occupant,manifest_tests,canonical_test_uid,occupants,test_id,1:N,occupant_info,6,pass,,source_endpoint=occupant_info;sample_source_payload_id=6
nhtsa_crash,vehicle_has_occupant,vehicles,id,occupants,vehicle_id,1:N,occupant_info,6,pass,,source_endpoint=occupant_info;sample_source_payload_id=6
nhtsa_crash,test_has_restraint,manifest_tests,canonical_test_uid,restraints,test_id,1:N,restraint_info,9,pass,,source_endpoint=restraint_info;sample_source_payload_id=9
nhtsa_crash,occupant_has_restraint,occupants,id,restraints,occupant_id,1:N,restraint_info,9,pass,,source_endpoint=restraint_info;sample_source_payload_id=9
nhtsa_crash,test_has_instrumentation_channel,manifest_tests,canonical_test_uid,instrumentation_channels,test_id,1:N,instrumentation_info,11,pass,,source_endpoint=instrumentation_info;sample_source_payload_id=11
nhtsa_crash,test_has_injury_metric,manifest_tests,canonical_test_uid,injury_metrics,test_id,1:N,metadata_export,2,pass,,source_endpoint=metadata_export;sample_source_payload_id=2
nhtsa_crash,occupant_has_injury_metric,occupants,id,injury_metrics,occupant_id,1:N,metadata_export,2,pass,,source_endpoint=metadata_export;sample_source_payload_id=2
nhtsa_crash,test_has_deformation_measurement,manifest_tests,canonical_test_uid,deformation_measurements,test_id,1:N,metadata_export,2,pass,,source_endpoint=metadata_export;sample_source_payload_id=2
nhtsa_crash,vehicle_has_deformation_measurement,vehicles,id,deformation_measurements,vehicle_id,1:N,metadata_export,2,pass,,source_endpoint=metadata_export;sample_source_payload_id=2
nhtsa_crash,test_has_media_asset,manifest_tests,canonical_test_uid,media_assets,test_id,1:N,vehicle_documents,8,pass,,source_endpoint=vehicle_documents;sample_source_payload_id=8
nhtsa_crash,payload_has_canonical_row_source,source_payloads,id,entity_instances,source_payload_id,1:N,,,pass,,conceptual_contract_relationship
